flightnum,origin,dest
6279,GJT,COS
6652,BOI,COS
6737,FAR,RAP
6766,MSO,RAP
6775,AUS,GJT
3674,SUN,TWF
3689,CPR,PIH
3697,SUN,PIH
3737,COD,PIH
3866,MSO,IDA
3895,BZN,PIH
3957,EUG,TWF
4051,JAC,PIH
3944,SLC,LNK
3725,SLC,CDC
6627,BHM,PUB
6701,MEM,COS
6310,SEA,PSC
6010,CEC,SMF
6011,SMF,CEC
6128,LAX,SFO
6222,SFO,LAX
6090,LAX,SJC
6635,BIL,COS
6704,ELP,COS
3795,MSY,AUS
3803,SLC,PSP
3725,SLC,CDC
6018,FAT,PSP
3997,SLC,LAS
6010,ACV,CIC
6212,SFO,RDD
6010,CEC,SMF
6011,ACV,RDD
6128,LAX,SFO
3853,DFW,DEN
3939,PHX,ELP
6011,SMF,RDD
6046,CLD,ONT
6704,ELP,COS
6740,SGF,RAP
3794,DFW,DEN
6010,CEC,SMF
3663,GJT,OGD
3762,PFN,SAT
3940,EUG,TWF
4012,SEA,PIH
6192,SFO,MFR
6185,RDD,SFO
6185,SFO,RDD
6212,SFO,MFR
3920,SLC,PSC
3933,SLC,TUS
6629,BHM,MEM
6091,LAX,SFO
6804,TYS,MCI
6845,ROA,STL
3800,PDX,BOI
3797,SLC,OMA
6146,LAX,SBP
6010,CEC,SMF
6068,IPL,LAX
2669,EWR,MCI
3477,EWR,ACK
3403,IAH,COS
2589,CLE,TPA
2221,CLE,AUS
2556,EWR,OKC
2793,IAH,OKC
2927,ORD,IAH
2034,CLE,MCI
2164,CLE,DAY
2967,MKE,IAH
3443,DTW,EWR
3305,SLC,IAH
2189,STL,IAH
2472,BNA,IAH
2421,MEM,CLE
2715,CRW,IAH
2697,OMA,IAH
2192,XNA,IAH
2603,IND,EWR
2686,IND,EWR
2463,STL,IAH
3365,MTJ,IAH
3459,AVL,EWR
2463,STL,IAH
2081,IAH,ABQ
2459,IAH,MOB
2693,EWR,PWM
3477,EWR,ACK
2507,PNS,IAH
2784,HRL,IAH
2717,CLE,PWM
2402,EWR,ROC
3431,IAD,EWR
2681,IAH,PIT
2307,IAH,JAX
2629,OKC,IAH
3278,IAH,RSW
2021,CLE,MCI
3291,EWR,TUL
2492,IAH,XNA
3392,IAH,RIC
2199,EWR,OMA
2659,PIT,IAH
2428,IND,IAH
2885,CLE,HPN
2611,CLT,IAH
3220,CLE,JFK
2321,EWR,PWM
2631,XNA,IAH
2331,CAE,EWR
2310,CLE,ATL
2144,CLE,IAD
2663,STL,EWR
2394,DCA,EWR
2278,IAH,BTR
2424,CVG,EWR
2322,GRR,EWR
2321,EWR,PWM
2364,EWR,STL
2203,TUL,IAH
2967,MKE,IAH
3446,DTW,EWR
2890,IAH,JAX
2958,MEM,IAH
3268,IAH,CLT
2878,XNA,EWR
2340,DFW,CLE
2549,LIT,IAH
2189,STL,IAH
2255,MKE,EWR
2927,ORD,IAH
3272,COS,IAH
2714,CLE,PWM
208,MDW,LGA
3,JFK,SFO
4,LAX,JFK
4,LAX,JFK
16,SFO,JFK
33,SFO,LIH
68,DEN,MCI
90,SFO,PHL
96,LAX,PHL
174,SFO,BOS
174,SFO,BOS
180,SMF,IAD
180,SMF,IAD
194,LAX,IAD
208,SJC,IAD
216,ORD,FLL
222,OAK,IAD
222,OAK,IAD
233,IAD,PHX
233,IAD,PHX
234,PHX,IAD
262,ORD,BWI
290,SFO,ATL
294,SFO,BWI
307,ORD,SNA
307,ORD,SNA
316,SMF,ORD
316,SMF,ORD
317,PHL,ORD
328,MCI,DEN
339,CLE,DEN
352,SLC,DEN
363,IAD,ORD
372,SAN,DEN
404,DEN,LGA
404,DEN,LGA
417,IAH,DEN
418,DEN,EWR
418,DEN,EWR
426,ORD,PHL
468,ORD,ATL
999,ATL,PWM
1175,ATL,RDU
1584,CVG,PWM
1706,ATL,PWM
752,DFW,BOS
339,ATL,LAS
686,PWM,CVG
517,PHL,ATL
610,PHX,ATL
1015,ATL,SAT
1448,BWI,ATL
240,IAH,ATL
1021,ATL,TUS
1166,LIT,ATL
724,CVG,LAS
1059,ATL,DFW
1285,JFK,DCA
1707,PVD,ATL
347,BDL,ATL
376,OAK,ATL
494,BOS,ATL
628,TUL,ATL
670,SFO,ATL
850,SNA,ATL
1639,GSO,ATL
1677,PHL,ATL
1803,PHL,ATL
1861,CLE,ATL
2098,PBI,BDL
320,ATL,EWR
512,ATL,LGA
1012,ATL,ORF
1450,SLC,IAH
1543,SLC,MCO
1584,CVG,PWM
1981,FLL,LGA
2002,PBI,BOS
765,ATL,HOU
1532,LAS,DFW
473,SAN,JFK
1179,ATL,JAN
1468,ORD,SLC
2038,FLL,JFK
302,ATL,EWR
759,MSP,ATL
1609,CVG,ORD
545,ATL,MCI
1049,CVG,MCI
1271,ATL,MCI
1867,ATL,MCI
598,SMF,ATL
644,LAS,CVG
734,SAN,CVG
896,LAX,DFW
949,DEN,CVG
1040,SFO,CVG
1214,ABQ,CVG
237,LGA,ATL
422,SNA,ATL
426,SLC,ATL
588,PBI,ATL
650,TUL,ATL
780,SYR,ATL
797,RIC,ATL
963,PHL,ATL
999,JAN,ATL
999,ATL,PWM
1106,CVG,PWM
1166,LIT,ATL
1287,LGA,ATL
1517,MOB,ATL
338,SFO,CVG
742,ATL,BWI
2048,LGA,TPA
4152,ATL,PHF
4173,BUF,ATL
4179,ONT,DFW
4188,DFW,ONT
4210,ATL,AGS
4237,TLH,DFW
4240,MEM,DFW
4263,DFW,DEN
4265,IND,ATL
4287,ATL,HPN
4310,BUF,ATL
4312,LIT,DFW
4316,MOB,DFW
4332,PNS,DFW
4349,DFW,AEX
4421,ATL,EYW
4425,ICT,ATL
4434,SHV,ATL
4442,MSY,DFW
4450,VPS,DFW
4461,DFW,LBB
4466,ATL,ROA
4478,ATL,EVV
4479,CHS,DFW
4489,SNA,DFW
4491,DFW,MSY
4501,MSY,DFW
4502,DFW,MCI
4506,DFW,JFK
4511,CHS,DFW
4523,CAK,ATL
4544,VPS,DFW
4561,ATL,MOB
4579,DFW,RDU
4594,ATL,CHO
4598,ATL,DAB
4610,DFW,BTR
4616,IAD,ATL
4711,SAV,DFW
4726,MSY,DFW
4730,JAX,DFW
4731,BTR,DFW
4739,LEX,DFW
4748,SAV,DFW
184,DFW,ATL
456,DFW,BWI
753,PHL,FLL
468,ATL,BWI
703,DAY,MCO
456,DFW,BWI
122,TPA,ATL
571,EWR,ATL
987,PIT,ATL
91,RDU,ATL
233,ATL,PBI
116,DFW,MCO
576,ATL,EWR
588,MCO,ROC
443,ATL,DFW
104,DFW,ATL
271,BOS,ATL
213,CAK,ATL
349,LGA,ATL
477,BWI,MCO
576,ATL,EWR
439,ATL,MCI
274,ATL,BOS
291,ATL,HOU
933,ATL,JAX
588,MCO,ROC
90,LNY,MKK
90,LNY,MKK
831,FLL,LAS
44,PHX,DCA
487,PHX,DEN
558,PHX,MIA
856,PHX,IAD
629,JFK,PHX
65,LAS,BOS
587,PHX,GEG
42,PHX,DCA
409,BOS,LAX
50,LAS,JFK
300,LAX,JFK
81,PHX,BWI
12,PHX,JFK
14,PHX,JFK
410,SFO,JFK
777,BWI,LAS
519,GEG,PHX
572,TPA,LAS
237,DTW,PHX
754,MSP,PHX
210,ONT,PHX
793,PDX,PHX
496,SEA,PHX
812,SFO,PHX
772,SMF,PHX
825,BOS,PHX
629,JFK,PHX
88,BWI,PHX
537,CLE,PHX
771,MKE,PHX
400,LAX,BOS
567,PHX,MCO
623,IAH,PHX
206,PHX,ABQ
596,PHX,MCI
569,PHX,MCO
400,LAX,BOS
3167,SFO,SNA
3307,DFW,GRK
3319,DFW,LAW
3472,BTR,DFW
3475,DFW,AMA
3485,DFW,JAN
3524,CLE,DFW
3541,DFW,BTR
3598,CMH,DFW
3620,LBB,DFW
3663,DFW,SGF
3663,DFW,SGF
3689,DFW,IAH
3720,CVG,DFW
3735,DFW,MKE
3739,DFW,CRP
3746,LIT,DFW
3750,JAN,DFW
3762,SHV,DFW
3773,DFW,DAY
3778,TYS,DFW
3810,CLT,DFW
3981,ORD,ICT
3997,BNA,ORD
4035,ORD,PWM
4035,ORD,PWM
4035,ORD,PWM
4048,ORD,IAD
4048,ORD,IAD
4050,ORD,IAD
4061,ORD,MSP
4178,RIC,ORD
4187,ORD,RIC
4247,ROC,ORD
4263,HSV,ORD
4280,FWA,ORD
4291,ORD,SYR
4310,CLT,ORD
4325,CLT,ORD
4327,ORD,CMI
4331,MQT,TVC
4349,ORD,MSN
4364,CHA,ORD
4405,TYS,ORD
4450,ORD,PWM
4451,PWM,ORD
4461,ORD,DLH
4470,ORD,ROC
4471,ROC,ORD
4490,BNA,MIA
4536,BOS,RDU
4583,BDL,RDU
4603,RDU,PHL
4608,BOS,DCA
4686,PVD,RDU
4753,JFK,DCA
4783,JFK,RDU
4880,XNA,LGA
4884,LGA,PWM
4927,BNA,LGA
4934,LGA,PWM
4937,LGA,PWM
4944,DTW,LGA
4964,DCA,LGA
104,PHX,MSP
106,PHX,MSP
155,MSP,SEA
170,MSP,BWI
215,DTW,SEA
222,SEA,DTW
224,DTW,DCA
226,DTW,DCA
260,PHX,DTW
267,DTW,PHX
269,ATL,MEM
279,DTW,MEM
279,DTW,MEM
287,DTW,MEM
290,MEM,DTW
334,LAX,DTW
338,LAX,DTW
340,SFO,DTW
422,DTW,MCO
426,DTW,MCO
469,DTW,ATL
488,DTW,TPA
501,IND,MSP
512,MSP,LGA
541,LGA,DTW
609,MSP,GEG
615,MSP,GEG
626,ABQ,MSP
651,DTW,DFW
653,EWR,DTW
715,BOS,MSP
735,JFK,MSP
747,DTW,MSP
767,DTW,MSP
767,DTW,MSP
2,LAX,JFK
4,LAX,JFK
16,SFO,JFK
29,JFK,LAX
40,LAX,JFK
44,SFO,JFK
68,DFW,MIA
76,LAX,IAD
76,LAX,IAD
82,OGG,SJC
102,HNL,DFW
118,LAX,JFK
160,SAN,JFK
165,BOS,SFO
235,JFK,SAN
241,JFK,LGB
279,ANC,DFW
279,ANC,DFW
280,LAX,MIA
282,PHX,JFK
286,LIH,LAX
296,HNL,ORD
346,PIT,LGA
358,ORD,LGA
366,ORD,LGA
370,ORD,LGA
370,SEA,ORD
370,SEA,ORD
379,ATL,DFW
389,DFW,ABQ
437,JFK,DFW
489,LGA,MCI
497,MSY,DFW
525,ORD,IAH
531,ATL,MIA
537,DCA,ORD
546,SMF,ORD
556,MCI,LGA
557,DFW,LGB
606,DFW,SJU
627,LGA,PBI
682,SAN,STL
682,STL,LGA
698,SFO,STL
705,LGA,DFW
730,ORD,FLL
731,LGA,DFW
731,LGA,DFW
731,LGA,DFW
739,LGA,DFW
739,LGA,DFW
740,DFW,LGA
744,DFW,LGA
753,LGA,DFW
753,LGA,DFW
766,DFW,LGA
804,FLL,LGA
810,ORD,DCA
812,SNA,DFW
847,ORD,MCI
852,SEA,STL
898,LAX,MIA
926,MIA,LGA
933,JFK,MIA
959,BOS,MIA
1006,DFW,MCI
1026,DFW,MCI
1037,MCO,DFW
1098,DFW,STL
1100,MCO,ORD
1124,PHX,DFW
1139,MIA,ORD
1188,AUS,ORD
1219,DCA,MIA
1232,DFW,STL
1261,DFW,SAT
1262,MIA,JFK
1263,ORD,ELP
1270,SJU,EWR
1277,LGA,MCO
1293,LGA,MSY
1296,DFW,DCA
1322,DFW,STL
1341,LGA,MIA
1347,JAX,DFW
1348,MIA,LGA
1381,ORD,SNA
1396,SNA,STL
1416,SJU,JFK
1423,ORD,PHX
1436,HOU,LGA
1453,LGA,MCI
1459,ORD,ELP
1463,ORD,SMF
1466,RNO,DFW
1468,FLL,LGA
1496,IAH,ORD
1506,SFO,ORD
1528,ORD,MIA
1549,SJU,DFW
1610,SFO,STL
1610,SFO,STL
1614,DFW,MIA
1620,MCO,LGA
1632,DFW,FLL
1650,SFO,DFW
1667,TPA,DFW
1676,IAH,MIA
1676,IAH,MIA
1685,LGA,HOU
1698,DFW,RDU
1698,DFW,RDU
1703,AUS,SJC
1727,BOS,DFW
1728,SNA,ORD
1800,MSY,LGA
1809,DCA,STL
1849,DFW,PHX
1861,ORD,ABQ
1882,DFW,JFK
1909,BOS,ORD
1938,IAH,ORD
1976,LAX,SFO
1983,ORD,SLC
1985,PHL,SJU
1992,STL,BWI
2016,LAX,STL
2038,DFW,FLL
2039,LGA,FLL
2070,DFW,BOS
2223,TPA,MIA
2224,MIA,BOS
2226,ORD,MCO
2239,RDU,MIA
2366,DFW,MDW
2409,TPA,DFW
2929,ATL,DFW
21,ORD,SEA
22,SEA,ORD
64,JNU,PSG
64,JNU,PSG
64,PSG,WRG
64,WRG,KTN
65,KTN,WRG
68,JNU,SIT
69,KTN,JNU
77,JNU,ANC
118,SEA,SAN
146,BRW,FAI
151,ANC,OTZ
172,JNU,SEA
193,LAX,SEA
334,SEA,SMF
416,PDX,BUR
433,SNA,SEA
472,SEA,ONT
499,ONT,PDX
720,SEA,PHX
724,SEA,PHX
477,RSW,EWR
34,DEN,IAH
1170,ORD,EWR
1993,MSY,EWR
1849,IAH,DEN
45,EWR,MIA
809,MSP,EWR
229,DEN,EWR
1548,IAH,FLL
492,ABQ,IAH
584,IAH,MCI
477,RSW,EWR
16,LAX,EWR
432,IAH,LGA
1400,FLL,EWR
160,IAH,PHX
1834,PHX,EWR
518,IAH,IAD
1680,SEA,EWR
458,IAH,DCA
1476,IAH,PHL
1136,DFW,EWR
483,PHX,IAH
1083,BOS,IAH
266,PHX,IAH
386,SNA,EWR
704,JAX,EWR
322,IAH,SMF
532,IAH,LGA
169,CLE,PHX
224,CLE,EWR
149,SFO,EWR
1432,MSP,IAH
1617,SAV,EWR
518,IAH,IAD
1403,LAX,EWR
308,PDX,IAH
1635,EWR,PHX
862,RSW,EWR
1233,LGA,IAH
1819,TPA,EWR
48,OGG,IAH
152,CMH,EWR
632,IAH,LGA
532,IAH,LGA
426,IAH,BWI
558,IAH,DCA
1126,BOS,IAD
1167,ORD,IAD
1201,ATL,IAD
1269,PWM,IAD
1514,JAX,IAD
1877,MHT,IAD
7312,CHS,IAD
7335,BOS,IAD
7350,CMH,IAD
7512,MHT,IAD
6155,CVG,MKE
1171,ORD,IAD
1600,ROC,IAD
1836,CLE,IAD
6171,GSP,CVG
6208,CVG,TRI
1124,BOS,IAD
1748,IAD,HPN
1848,IAD,GSP
1260,IAD,PWM
1521,IAD,JAX
1170,IAD,ORD
6063,CVG,SCE
6113,CVG,SCE
1746,IAD,HPN
1529,IAD,DAY
1261,IAD,PWM
1162,IAD,ORD
1747,IAD,HPN
1554,IAD,SYR
1202,IAD,ATL
1264,IAD,PWM
1403,IAD,BTV
1606,IAD,ROC
1265,IAD,PWM
6188,CVG,RIC
1260,IAD,PWM
6099,LAN,CVG
301,ATL,DEN
514,DFW,FLL
794,ATL,SYR
1255,ATL,MIA
1610,ATL,PHL
715,LAS,SLC
1047,PDX,SLC
1800,SEA,SLC
511,CVG,HNL
240,ATL,IAD
338,SFO,CVG
871,ATL,LGA
1063,STL,CVG
1169,PHX,CVG
1250,SRQ,CVG
2035,PBI,LGA
2074,FLL,LGA
237,LGA,ATL
301,DCA,ATL
797,RIC,ATL
870,PWM,ATL
901,ATL,SLC
1298,PHL,ATL
505,ATL,DEN
511,CVG,HNL
809,HOU,ATL
1488,LAX,ATL
2084,BDL,TPA
319,ATL,DEN
170,CVG,JFK
188,SLC,JFK
190,LAX,JFK
310,LAX,JFK
322,LAX,JFK
466,SFO,JFK
473,SAN,JFK
544,DEN,JFK
973,ATL,LGA
980,ATL,LGA
1272,SEA,JFK
1285,JFK,DCA
1446,ATL,LGA
2030,FLL,JFK
2072,FLL,LGA
806,CVG,SLC
1139,ATL,DCA
2074,FLL,LGA
535,ORD,SNA
573,GSO,ORD
602,ORD,DCA
603,DCA,ORD
627,ORD,GEG
663,ORD,DFW
664,SEA,ORD
687,LGA,ORD
689,ORD,SNA
696,BOI,DEN
798,BUR,SFO
812,IAD,BOS
839,JFK,LAX
919,IAD,SAN
920,DEN,IAD
925,IAD,LAX
927,SFO,LAX
933,IAD,DEN
936,ORD,IAD
968,DEN,LAX
1175,SEA,LAX
1188,MIA,IAD
1190,DEN,BWI
1223,DEN,LAX
1297,ORD,DFW
1417,DEN,LAS
1421,MCO,DEN
1441,DEN,ONT
1469,MSY,DEN
1469,MSY,DEN
1553,IAD,LAS
1556,MCO,IAD
1570,TPA,IAD
1591,ORD,LAS
1595,ORD,LAS
11,PHL,LAX
19,PHL,LAX
33,PHL,SEA
45,PIT,LAX
50,SFO,CLT
51,PIT,LAX
83,CLT,SAN
110,CLT,LAX
147,BUF,PHL
151,PIT,SAN
193,CLT,LAX
201,PHL,SFO
253,MHT,PHL
298,BOS,PHL
392,DCA,BDL
422,IND,DCA
546,PHL,CMH
570,PBI,DCA
574,PBI,PHL
615,CLT,LAS
619,CLT,LAS
623,ALB,PHL
627,DCA,PHL
766,CLT,LGA
783,PWM,PHL
871,BOS,PHL
938,TPA,PHL
991,PHL,DFW
1033,PIT,DFW
1049,BOS,PHL
1075,PVD,PHL
1109,PHL,DFW
1201,FLL,PHL
1205,PVD,PHL
1240,FLL,PHL
1454,TPA,DCA
1610,ATL,PHL
1624,PWM,PHL
1626,BNA,DCA
1635,PHL,ATL
1640,PIT,PWM
1644,CLT,IAH
1664,CLT,RIC
1671,RIC,PHL
1691,MCI,DCA
1741,ALB,DCA
1742,PHL,PWM
1746,PHL,PWM
2115,BOS,LGA
1223,HOU,BNA
353,ISP,PBI
344,MSY,BNA
1423,PDX,OAK
572,PHX,SAN
888,PHX,SAN
1782,SMF,SAN
999,PHX,RDU
598,RNO,OAK
2096,SEA,ABQ
1773,SAN,SMF
223,FLL,TPA
1741,PHL,MSY
332,PVD,TPA
285,BWI,SAN
1260,HOU,LAS
2445,LAS,PHX
2466,MCI,LAS
628,MCO,PHL
1589,PHX,ONT
91,SMF,LAS
1663,MDW,SEA
211,BWI,FLL
1746,PHX,SDF
2773,MSY,BNA
1210,OAK,PDX
434,BHM,LAS
954,BNA,LAS
115,BNA,LAX
905,BNA,PHX
439,BUR,PHX
1298,BUR,SMF
922,BWI,LAS
85,BWI,LAX
285,BWI,SAN
1591,CMH,LAS
1174,HOU,LAS
404,IND,LAS
624,LAX,MCI
1938,MCI,LAS
966,MCI,PHX
1248,MDW,LAS
1318,MDW,LAS
327,MDW,LAX
2872,MDW,LAX
2497,MDW,PHX
1077,MDW,SAN
1644,MDW,SAN
474,MSY,SAN
1423,OAK,LAX
509,OAK,SAN
2255,ONT,PHX
481,PHL,LAS
935,PHX,ONT
289,RNO,LAS
2082,RNO,SJC
597,SAN,LAS
495,SJC,LAX
306,SJC,SAN
2711,SMF,PHX
268,BHM,MSY
808,BHM,MSY
856,BHM,MSY
2033,BHM,MSY
2238,BHM,MSY
820,BHM,PHX
1209,FLL,MSY
231,HOU,MSY
620,HOU,MSY
810,HOU,MSY
898,HOU,MSY
983,HOU,MSY
1037,HOU,MSY
1454,HOU,MSY
1594,HOU,MSY
2315,HOU,MSY
2399,IND,MSY
353,ISP,PBI
2708,JAX,MSY
2143,LAX,MSY
405,MCO,MSY
474,MCO,MSY
601,MCO,MSY
1364,MCO,MSY
816,OAK,MSY
1741,PHL,MSY
973,PHX,MSY
1284,PHX,MSY
2376,SAN,MSY
63,TPA,MSY
995,TPA,MSY
1646,TPA,MSY
2288,TPA,MSY
2540,TPA,MSY
2238,BNA,BHM
856,BWI,BHM
1575,BWI,BHM
1874,HOU,BHM
1929,HOU,BHM
1260,HOU,LAS
231,HOU,MSY
620,HOU,MSY
898,HOU,MSY
1454,HOU,MSY
1594,HOU,MSY
1735,HOU,MSY
2315,HOU,MSY
2399,IND,MSY
2708,JAX,MSY
1364,MCO,MSY
1089,MSY,BHM
1741,PHL,MSY
1339,PHX,BHM
1284,PHX,MSY
2030,STL,BHM
945,TPA,BHM
995,TPA,MSY
1646,TPA,MSY
2288,TPA,MSY
353,ISP,PBI
2353,MDW,RDU
1364,HOU,PHX
1023,MCI,TUL
2483,SMF,PHX
773,JAX,FLL
2082,SJC,PHX
1773,ELP,PHX
2706,IND,LAX
2183,MHT,BNA
1997,LAS,MCI
1925,LAS,LIT
894,ONT,SJC
2478,SAN,BNA
1351,STL,PHX
2089,PHX,OMA
261,AUS,LAX
260,AUS,TPA
81,BNA,JAX
1985,BNA,JAX
1040,BNA,TPA
2613,BWI,TPA
1138,FLL,JAX
2358,FLL,JAX
266,FLL,TPA
775,FLL,TPA
1196,FLL,TPA
1524,IND,JAX
2804,MHT,TPA
898,MSY,TPA
2315,MSY,TPA
2372,MSY,TPA
1393,ORF,JAX
2273,PHL,TPA
1072,RDU,TPA
1983,FLL,BWI
450,FLL,ISP
1948,FLL,JAX
1096,FLL,MCO
2180,FLL,MCO
1618,FLL,STL
223,FLL,TPA
845,FLL,TPA
1224,FLL,TPA
2179,LAS,BUR
1092,OAK,BUR
2608,PBI,TPA
2675,PHX,BUR
1706,SJC,BUR
2195,SMF,BUR
1939,LIT,PHX
1735,MCO,FLL
643,MCO,PHL
2116,PBI,PHL
2092,STL,PHX
633,MHT,MDW
453,MDW,FLL
849,MSP,ANC
859,MSY,MSP
883,MSP,TUS
937,AUS,MSP
1031,MSP,ONT
1036,MSY,DTW
1046,MSP,AZO
1054,MSP,PIT
1101,RIC,DTW
1106,DTW,RSW
1106,DTW,RSW
1152,IAH,MSP
1175,BNA,MSP
1190,LAS,DTW
1196,LAS,DTW
1217,MSP,DLH
1237,GRR,DTW
1290,MSP,MDW
1434,MSP,ATL
1512,MSP,RDU
1519,ALB,DTW
1557,SYR,DTW
1600,FNT,TPA
1626,JAC,MSP
1690,DTW,RDU
1747,DTW,BNA
1785,PHL,DTW
1816,DTW,HPN
1821,PHL,DTW
1831,BOS,DTW
1879,MHT,DTW
1905,MSP,SNA
1931,JFK,DTW
5437,ICT,CVG
5472,BGR,CVG
5106,SWF,CVG
5718,BTV,CVG
4987,MHT,CVG
5849,DSM,CVG
5639,STL,CVG
5821,LEX,CVG
4935,PWM,CVG
5528,ABE,CVG
5781,HPN,CVG
5810,ISP,CVG
5521,SRQ,CVG
5320,MHT,LGA
4994,TRI,CVG
5053,HVN,CVG
5141,SYR,CVG
5590,GSP,CVG
5327,AVP,CVG
5443,FNT,CVG
5198,DTW,CVG
5601,SAV,CVG
5591,JFK,CVG
5575,MDT,CVG
5029,ACY,CVG
5222,TYS,CVG
4971,ROC,CVG
5599,SAV,LGA
5378,CHS,CVG
5615,MYR,CVG
5100,ATL,CVG
4988,PIT,CVG
5423,JAX,LGA
5113,JFK,ATL
5359,ROC,ATL
5767,PWM,BOS
5873,OKC,CVG
5132,CAE,LGA
5771,EWR,CVG
5132,CAE,LGA
5555,GSO,LGA
5762,GSP,LGA
5762,GSP,LGA
5081,ATL,JFK
5754,DAY,CVG
5220,HVN,CVG
4940,ATW,ATL
5253,TOL,ATL
5852,DSM,ATL
5506,BOS,RDU
5143,SYR,ATL
5253,TOL,ATL
5855,FNT,ATL
5021,ROC,ATL
5365,ROC,ATL
5080,BUF,ATL
5665,SDF,ATL
5350,BOS,DCA
5534,ABE,ATL
5803,CVG,IAD
5564,DCA,BOS
5139,CVG,CAE
5729,JFK,DTW
5154,ATW,ATL
5552,LGA,PWM
5880,CVG,OKC
5691,CVG,JFK
4006,SLC,FCA
6825,ORD,ABE
3805,SLC,COS
6702,DEN,BIS
6920,ORD,BIS
6920,BIS,ORD
6683,DEN,BIS
6871,ORD,MSP
6871,MSP,BIS
6140,LAX,SBA
6170,LAX,SAN
6867,ORD,TYS
6017,PSP,SGU
6018,FAT,PSP
6194,SFO,ACV
6145,LAX,SBA
3794,COS,OKC
3882,GSO,OKC
3939,PHX,AUS
6509,COS,TUS
3725,SGU,CDC
3920,SLC,PSC
6526,LAX,PSP
3671,TWF,SLC
3716,RNO,SLC
3900,SLC,HLN
6251,SBP,FAT
6670,DEN,BIS
6861,ORD,BIS
6951,ORD,LEX
6683,DEN,BIS
6871,ORD,BIS
3920,SLC,PSC
6146,LAX,SBP
6194,SFO,ACV
6300,MFR,PDX
6305,GEG,PSC
6146,LAX,SBP
6223,SFO,RDD
6300,MFR,PDX
6318,PDX,EUG
6390,SFO,LAX
6300,MFR,PDX
6833,ORD,ROA
6833,ROA,ORD
6833,ORD,ROA
2239,IAH,BFL
2289,BTV,EWR
2716,PWM,EWR
3280,MSP,EWR
2227,EWR,PWM
2041,CLE,ATL
2697,OMA,IAH
2227,EWR,PWM
3372,TYS,EWR
2260,PWM,EWR
2853,PWM,EWR
2260,PWM,EWR
2853,PWM,EWR
2853,PWM,EWR
2881,MTJ,IAH
3387,AMA,IAH
2202,IAH,BHM
3216,PWM,EWR
2026,CLE,HPN
3357,EWR,MSP
2805,CLE,IAD
2186,IAH,GSP
3355,EWR,MSP
2249,ISP,CLE
2239,IAH,BFL
3278,IAH,RSW
3337,IAH,PSP
3416,EWR,DCA
2115,CLE,DFW
25,JFK,LAX
42,OGG,LAX
48,OGG,SFO
78,SFO,EWR
78,SFO,EWR
83,EWR,LAX
99,PHL,LAX
118,LAX,ORD
125,ORD,LAX
127,ORD,LAX
169,BOS,LAX
177,IAD,LAX
185,IAD,OAK
185,ORD,SAN
188,SFO,IAD
195,IAD,LAX
205,IAD,SFO
211,IAD,SAN
237,IAD,SJC
268,SMF,ORD
277,MCO,LAX
281,BWI,LAX
290,SFO,ATL
318,SAT,ORD
329,DEN,SAN
333,EWR,DEN
366,ORD,IAD
382,MSY,IAD
402,DEN,LGA
448,DEN,ATL
468,PDX,ORD
521,IAD,DFW
417,ATL,LAS
447,JFK,LAS
533,MCO,DFW
841,ATL,LAS
905,DFW,LAX
983,SLC,DFW
994,DFW,FLL
1075,CVG,LAX
1077,CVG,DFW
1161,FLL,DFW
1181,BOS,DFW
1235,TPA,DFW
1661,CVG,SAN
1777,ATL,SNA
1887,ATL,FLL
2062,MCO,LAX
2085,TPA,LAX
162,SEA,ATL
240,IAH,ATL
301,DCA,ATL
320,DEN,ATL
347,BDL,ATL
349,MCO,ATL
386,SFO,ATL
394,OAK,ATL
404,LGA,ATL
412,STT,ATL
414,LAS,ATL
422,SNA,ATL
469,BWI,ATL
477,MKE,ATL
487,CMH,ATL
553,DCA,ATL
588,PBI,ATL
602,ATL,DCA
628,TUL,ATL
706,SEA,ATL
760,FLL,ATL
791,BOS,ATL
797,RIC,ATL
824,MCI,ATL
837,ORF,ATL
840,JAX,ATL
869,RSW,ATL
873,CLT,ATL
887,ALB,ATL
961,DCA,ATL
1029,MDW,ATL
1064,MDW,ATL
1134,OMA,ATL
1138,IAD,ATL
1148,MIA,ATL
1175,ORD,ATL
1220,LAX,ATL
1285,DCA,ATL
1292,GSO,ATL
1298,PHL,ATL
1416,ATL,MSP
1418,STL,ATL
1427,DTW,ATL
1445,ATL,SNA
1546,RDU,ATL
1600,COS,ATL
1637,TLH,ATL
1640,SAT,ATL
1656,SMF,ATL
1668,ONT,ATL
1676,PDX,ATL
1683,MSP,ATL
1773,MIA,ATL
1778,SNA,ATL
1797,PHL,ATL
1877,PIT,ATL
228,ONT,SAN
228,SAN,ATL
376,ATL,DCA
914,CLE,ATL
218,ATL,LGA
504,ATL,LGA
610,PHX,ATL
240,IAH,ATL
1488,LAX,ATL
1816,RDU,ATL
277,ATL,SAN
387,SLC,ATL
180,LAX,ATL
182,LAX,ATL
202,LAX,ATL
240,IAH,ATL
348,PHX,ATL
364,MCI,ATL
370,DAY,ATL
376,OAK,ATL
386,SFO,ATL
394,OAK,ATL
404,LGA,ATL
412,STT,ATL
422,SNA,ATL
469,BWI,ATL
487,CMH,ATL
528,SEA,ATL
588,PBI,ATL
598,SMF,ATL
650,TUL,ATL
670,SFO,ATL
708,SAT,ATL
795,CLE,ATL
