flightnum,origin,dest
1107,DTW,LAX
1188,MKE,DTW
1279,MSP,BOI
1419,DTW,MDW
1443,PVD,DTW
1485,MSP,MSO
1485,MSP,MSO
1485,MSP,MSO
1545,MCO,FNT
1545,MCO,FNT
1560,DTW,SYR
1573,DTW,MCI
1603,SRQ,DTW
1617,SJU,DTW
1627,MSP,JAC
1627,MSP,JAC
1641,FLL,FNT
1641,FLL,FNT
1653,MSP,EGE
1669,CLT,MSP
1774,DTW,PHL
1937,MEM,OMA
1938,MEM,VPS
5682,GRR,CVG
5192,CVG,PFN
5193,CVG,TLH
5022,FLL,RIC
5157,DCA,IAD
5290,CAK,PIT
5437,JAX,JFK
5711,CVG,AVP
5926,CAE,JFK
5837,ATL,CVG
5300,PHX,LAS
5943,HLN,PIH
5708,AZO,DAY
5402,MCO,ATL
5069,ATL,CVG
5034,CVG,HOU
5059,SHV,BHM
5127,LGA,JFK
5037,CVG,JFK
5127,BHM,JFK
5138,CAE,JFK
5143,ATL,CMH
5437,JAX,JFK
5551,PWM,JFK
5713,CVG,ABE
5018,GSO,JFK
5037,CVG,JFK
5138,CAE,JFK
5324,MHT,JFK
5514,RDU,JFK
5551,PWM,JFK
5608,SAV,JFK
5874,CVG,TUL
5875,SLC,TUL
5877,CVG,DFW
5127,BHM,JFK
5437,JAX,JFK
5551,PWM,JFK
5815,ISP,AGS
5360,ROC,LEX
5720,BTV,CMH
5506,RDU,LEX
5672,DSM,BNA
5103,DCA,IAD
5878,OKC,ICT
5068,CVG,TUL
5741,CVG,SHV
5030,ATL,CRW
5099,LAN,CRW
5128,BHM,LEX
5139,CAE,CMH
5155,ATW,LEX
5289,CAK,CMH
5293,CAK,CMH
5295,ATL,PIT
5322,CVG,CMH
5524,SRQ,IND
5586,MDT,CVG
5604,SAV,HTS
5676,TUL,IND
5740,LIT,CMH
5764,SBN,LEX
5779,GRB,LEX
5818,MEM,LEX
5840,MDW,CMH
5866,OMA,LEX
5916,MSP,LEX
5917,MSP,CRW
5925,TYS,LEX
5937,BWI,LEX
5940,MCI,LEX
5029,CVG,TRI
5169,ATL,ALB
5393,DCA,ORF
5481,DCA,CHO
5165,FNT,CHA
6637,MFR,SEA
6645,RDM,SEA
6691,SEA,MFR
3640,SLC,RNO
6892,DEN,MLI
3640,SLC,RNO
3848,SLC,HLN
3608,CPR,PIH
3876,MCI,DEN
3879,HLN,PIH
3891,GTF,TWF
6080,SAN,ONT
6570,LAX,LAS
6715,DEN,GTF
3608,CPR,PIH
3655,SGU,IDA
3803,OKC,TWF
3829,SAN,TWF
3843,SNA,TWF
3942,OMA,IDA
3948,ONT,TWF
3981,ABQ,PIH
4005,SMF,TWF
4103,JAC,TWF
6279,DEN,MTJ
3867,SLC,HLN
4103,SLC,IDA
3834,SLC,HLN
3865,SLC,GTF
3866,SLC,GTF
3989,SLC,TWF
6017,LAS,MRY
6051,LAX,SAN
6055,LAX,MRY
6306,SEA,PSC
6333,PSC,PDX
6387,SFO,TWF
6590,LAX,MRY
6712,DEN,BZN
3661,SLC,MTJ
3663,SLC,MTJ
3664,SLC,MTJ
3666,SLC,MTJ
3877,SLC,GTF
6222,SFO,LAX
6300,MFR,PDX
3662,GJT,MTJ
3779,SLC,BOI
3851,SLC,CPR
3922,SLC,SEA
3801,SLC,TUL
3956,SLC,GTF
6311,PDX,ACV
6698,DEN,FSD
9527,IAH,CLL
3606,SLC,IDA
3640,SLC,RNO
3643,RNO,SLC
3643,RNO,SLC
3643,RNO,SLC
3991,BOI,GJT
3700,SLC,EUG
4005,SMF,TWF
3915,SLC,SJC
6010,ACV,SFO
6011,SMF,CEC
3834,FCA,PIH
6020,LAS,LAX
6499,LAX,SFO
6574,LAX,SFO
3898,SLC,MSO
3989,SLC,TWF
6387,SFO,TWF
3665,SLC,MTJ
3900,SLC,BZN
3948,ONT,PSP
6638,BIS,GJT
6678,DEN,SFO
3643,RNO,SLC
9547,IAH,ACT
3865,SLC,BOI
3726,GSO,AUS
3935,OAK,SMF
2628,IAH,OKC
3209,GSO,EWR
2247,CVG,EWR
2748,IAH,GSO
3226,BDL,EWR
2823,GSO,IAH
2889,JAX,IAH
2611,CLT,IAH
3326,IAH,VPS
2463,IAH,BRO
2426,EWR,GRR
2116,DAY,IAH
2128,GSP,IAH
2096,CLE,MSN
2865,RIC,IAH
3411,BOS,CLE
2732,IAH,DAY
2330,EWR,CAE
2845,IAH,DSM
2261,DCA,EWR
2056,CLE,PVD
2640,EWR,DAB
2601,EWR,XNA
2940,IAH,BRO
2556,EWR,OKC
2516,SAV,IAH
2349,IAH,BRO
2759,MHT,CLE
3328,IAH,VPS
2841,CAE,IAH
2183,IAH,RDU
2206,IAH,DAL
2110,MCI,EWR
3357,EWR,MSP
2958,IAD,IAH
3345,CLT,EWR
2652,EWR,CVG
2223,CLE,DAY
7,EWR,SFO
344,DEN,MDW
344,IND,MDW
537,MCO,MDW
714,LAS,MDW
762,OGG,LAX
36,KOA,SFO
38,OGG,LAX
44,HNL,DEN
53,LAX,HNL
65,LAX,HNL
80,LAX,EWR
97,PHL,LAX
104,LAX,ORD
117,ORD,LAX
229,IAD,PDX
275,MCO,LAX
291,SFO,PDX
369,DEN,PDX
402,DEN,LGA
435,MIA,DEN
438,SNA,ORD
450,DEN,DFW
1285,JFK,DCA
1403,MHT,CVG
953,ATL,BTR
1070,ATL,PIT
576,SJC,ATL
1081,PWM,CVG
511,CVG,HNL
1551,ATL,OKC
389,ATL,SJU
610,PHX,ATL
754,ATL,MDW
1210,ATL,DAY
1664,ATL,CMH
1721,RIC,ATL
1864,RIC,CVG
217,LAS,SNA
992,DFW,ATL
1714,CVG,RDU
2099,EWR,SLC
250,SFO,ATL
1707,PBI,ATL
752,DFW,BOS
2473,BOS,FLL
214,EGE,ATL
323,LGA,CVG
552,SAT,CVG
607,ATL,LIT
899,BDL,CVG
1276,ATL,DCA
1683,BOS,CVG
1707,ATL,DEN
2035,CLE,ATL
2136,PBI,CVG
541,LAX,OGG
1409,SNA,ATL
1852,HNL,LAX
1910,SAN,CVG
197,ATL,SEA
2457,IAD,MCO
345,MSP,ATL
215,ATL,EGE
1510,ATL,FLL
2475,BOS,FLL
4135,ATL,VPS
4135,ATL,VPS
4141,ATL,PNS
4156,ATL,EVV
4160,ATL,LEX
4191,ONT,SLC
4205,DCA,DFW
4228,MCI,DFW
4228,MCI,DFW
4273,AEX,DFW
4316,MOB,DFW
4316,MOB,DFW
4344,SDF,DFW
4363,ATL,HTS
4392,JAX,DFW
4392,JAX,DFW
4429,DFW,LBB
4441,ATL,PFN
4453,CAE,DFW
4479,CHS,DFW
4479,CHS,DFW
4495,HSV,DFW
4511,CHS,DFW
4538,ATL,CRW
4553,DTW,DFW
4565,MGM,DFW
4565,MGM,DFW
4580,ATL,TOL
4612,DFW,VPS
4615,VPS,DFW
4686,DFW,VPS
4693,ATL,MYR
4707,TYS,DFW
4711,SAV,DFW
4739,LEX,DFW
4752,ATL,MEI
4766,RDU,DFW
4766,RDU,DFW
4772,DFW,MOB
4777,ORD,DFW
4826,AUS,DFW
4847,ATL,EYW
4847,ATL,EYW
4908,DFW,OAK
4908,DFW,OAK
4914,MSY,DFW
202,LGA,CAK
1711,ATL,PNS
824,ATL,MDW
30,ATL,MDW
436,ATL,MCO
224,MCO,ATL
256,ATL,FNT
386,ATL,MLI
74,FLL,ATL
386,ATL,MLI
700,ATL,DAY
103,ATL,DFW
202,LGA,CAK
21,SEA,HNL
90,HNL,LNY
90,LNY,MKK
90,LNY,MKK
544,HNL,LNY
856,PHX,IAD
307,JFK,LAX
587,PHX,GEG
291,DEN,PHX
10,ORD,PHX
158,PHX,STL
688,EWR,PHX
457,MCI,PHX
587,PHX,GEG
409,BOS,LAX
583,PHX,GEG
391,LAS,DFW
587,PHX,GEG
583,PHX,GEG
790,PHX,PDX
763,PHX,SMF
397,LAS,DFW
592,PHX,MCI
763,PHX,SMF
520,PHX,RNO
566,MCO,PHX
3007,LAX,SBP
3011,LAX,FAT
3021,LAX,FAT
3101,LAX,FAT
3173,SFO,SNA
3191,LAX,SJC
3202,SBA,LAX
3224,SAN,SJC
3407,DFW,ILE
3450,HSV,DFW
3458,CMH,DFW
3464,LRD,DFW
3464,LRD,DFW
3503,DFW,BNA
3504,BNA,DFW
3509,DFW,ICT
3530,CLE,DFW
3539,DFW,GRR
3564,GSO,DFW
3564,GSO,DFW
3570,CID,DFW
3571,DFW,CID
3587,DFW,OKC
3598,CMH,DFW
3604,FWA,DFW
3604,FWA,DFW
3616,GSO,DFW
3640,GSP,DFW
3646,SGF,DFW
3654,FSM,DFW
3654,FSM,DFW
3702,ICT,DFW
3708,CVG,DFW
3711,DFW,DSM
3734,MKE,DFW
3745,DFW,GSP
3750,JAN,DFW
3773,DFW,DAY
3778,TYS,DFW
3785,DFW,CVG
3796,GRR,DFW
3796,GRR,DFW
3969,MIA,CVG
3998,ORD,OKC
4002,ORD,CLT
4019,ORD,BUF
4041,ORD,DBQ
4058,ORD,OKC
4100,RIC,ORD
4114,PIT,ORD
4126,CHA,ORD
4136,IAD,ORD
4154,CMH,ORD
4162,GSP,ORD
4167,ORD,CMH
4176,CMH,ORD
4182,SYR,ORD
4223,ROC,ORD
4276,OMA,ORD
4305,CLE,ORD
4307,ORD,LSE
4312,TOL,ORD
4314,DAY,ORD
4321,ORD,MDT
4328,ORF,ORD
4331,MQT,TVC
4372,MDT,ORD
4389,ORD,RST
4399,ROC,ORD
4401,CMI,ORD
4404,FWA,ORD
4422,ORD,TVC
4422,TVC,MQT
4495,MIA,CMH
4547,BOS,DCA
4662,RDU,DCA
4747,BOS,BWI
4861,LGA,XNA
4887,LGA,XNA
4910,LGA,STL
4959,LGA,DCA
175,MSP,SEA
211,DTW,SEA
226,DTW,DCA
250,DTW,FLL
263,DTW,PHX
275,DTW,SAN
278,DTW,LGA
279,DTW,MEM
293,DTW,MEM
300,LAX,MSP
378,CLE,DTW
408,DFW,MSP
492,DTW,TPA
500,MSP,IND
589,MSP,PDX
598,PDX,MSP
611,MSP,GEG
35,SJC,HNL
39,SFO,HNL
44,SFO,JFK
59,JFK,SFO
196,SFO,BOS
217,ORD,OGG
218,OGG,LAX
281,JFK,SNA
281,JFK,SNA
324,DFW,DCA
432,TUS,DFW
476,BUR,DFW
476,BUR,DFW
528,DFW,DTW
553,LGA,MDW
593,ATL,DFW
607,ORD,ABQ
652,DFW,MIA
728,DFW,LGA
751,FLL,LAX
753,LGA,DFW
817,TUL,DFW
