"_c0",dayofmonth,arrtime
SYR,19,1059
SYR,19,1122
SYR,19,1215
SYR,19,1221
SYR,19,1255
SYR,19,1321
SYR,19,1349
SYR,19,1355
SYR,19,1409
SYR,19,1410
SYR,19,1431
SYR,19,1551
SYR,19,1603
SYR,19,1627
SYR,19,1628
SYR,19,1642
SYR,19,1714
SYR,19,1728
SYR,19,1748
SYR,19,1832
SYR,19,1834
SYR,19,1839
SYR,19,2025
SYR,19,2110
SYR,19,2116
SYR,19,2132
SYR,19,2202
SYR,19,2205
SYR,19,2230
SYR,19,2241
SYR,19,2329
SYR,19,2336
SYR,19,2351
SYR,19,900
SYR,19,929
SYR,2,1030
SYR,2,1034
SYR,2,1152
SYR,2,1224
SYR,2,1227
SYR,2,1311
SYR,2,1355
SYR,2,1400
SYR,2,1409
SYR,2,1428
SYR,2,1514
SYR,2,16
SYR,2,1610
SYR,2,1620
SYR,2,1644
SYR,2,1701
SYR,2,1703
SYR,2,18
SYR,2,1803
SYR,2,1810
SYR,2,1813
SYR,2,1828
SYR,2,1832
SYR,2,1848
SYR,2,2008
SYR,2,2040
SYR,2,2132
SYR,2,2133
SYR,2,2157
SYR,2,2215
SYR,2,2222
SYR,2,2224
SYR,2,2306
SYR,2,2332
SYR,2,2342
SYR,2,914
SYR,2,939
SYR,2,947
SYR,20,1029
SYR,20,1034
SYR,20,1047
SYR,20,1146
SYR,20,1213
SYR,20,1320
SYR,20,1355
SYR,20,1359
SYR,20,1359
SYR,20,1416
SYR,20,1429
SYR,20,1530
SYR,20,1619
SYR,20,1622
SYR,20,1629
SYR,20,1648
SYR,20,1702
SYR,20,1729
SYR,20,1807
SYR,20,1823
SYR,20,1831
SYR,20,1836
SYR,20,2013
SYR,20,2100
SYR,20,2116
SYR,20,2119
SYR,20,2146
SYR,20,2154
SYR,20,2215
SYR,20,2226
SYR,20,2312
SYR,20,2343
SYR,20,2343
SYR,20,900
SYR,20,926
SYR,20,928
SYR,20,942
SYR,20,954
SYR,21,1021
SYR,21,1030
